sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
140,VS56_158_rep1_S302_R1_001,VS56_158,empirical,VS56_158_rep1_S302_R1_001.fastq.gz,1326638,71904,0.001865543,33.5,5.42001661342431,83.16503173687248,34.57876514714368
141,VS56_158_rep2_S350_R1_001,VS56_158,empirical,VS56_158_rep2_S350_R1_001.fastq.gz,1390225,121821,0.001889494,33.4,8.762682299627759,92.93133294864397,56.04443162146566
142,VS56_159_rep2_S351_R1_001,VS56_159,empirical,VS56_159_rep2_S351_R1_001.fastq.gz,1362269,52140,0.001817798,33.5,3.8274378995631553,83.4535487593768,26.543566070398157
143,VS56_159_rep1_S303_R1_001,VS56_159,empirical,VS56_159_rep1_S303_R1_001.fastq.gz,2055174,69719,0.001708573,33.5,3.392364831396271,82.50144258511251,30.568378534333522
144,VS56_16_rep1_S16_R1_001,VS56_16,empirical,VS56_16_rep1_S16_R1_001.fastq.gz,1034801,36642,0.001900551,33.5,3.5409706793866644,67.57068667051355,18.36410848240046
145,VS56_16_rep2_S64_R1_001,VS56_16,empirical,VS56_16_rep2_S64_R1_001.fastq.gz,1187792,30187,0.001883592,33.4,2.5414382316095745,77.20715522215811,12.478361223312175
146,VS56_160_rep1_S304_R1_001,VS56_160,empirical,VS56_160_rep1_S304_R1_001.fastq.gz,1210166,44985,0.001824608,33.5,3.717258624023481,70.22504327755338,17.311021350259665
147,VS56_160_rep2_S352_R1_001,VS56_160,empirical,VS56_160_rep2_S352_R1_001.fastq.gz,1246162,23845,0.002054938,33.5,1.9134751340515919,59.17484131563763,9.34795152914022
148,VS56_161_rep1_S305_R1_001,VS56_161,empirical,VS56_161_rep1_S305_R1_001.fastq.gz,2249974,56153,0.001745588,33.5,2.4957177282937493,82.42931332948645,26.31275245239469
149,VS56_161_rep2_S353_R1_001,VS56_161,empirical,VS56_161_rep2_S353_R1_001.fastq.gz,1299802,42277,0.002041772,33.5,3.252572314860264,73.47085978072705,18.33525678015003
150,VS56_162_rep2_S354_R1_001,VS56_162,empirical,VS56_162_rep2_S354_R1_001.fastq.gz,1297412,59318,0.001648741,33.5,4.572024923463017,74.43739180611657,20.81650317368725
151,VS56_162_rep1_S306_R1_001,VS56_162,empirical,VS56_162_rep1_S306_R1_001.fastq.gz,1760417,63733,0.00186434,33.4,3.62033540916726,83.4535487593768,25.8799769186382
152,VS56_163_rep2_S355_R1_001,VS56_163,empirical,VS56_163_rep2_S355_R1_001.fastq.gz,1387251,67037,0.002039769,33.5,4.83236270869511,81.82342758222735,32.29948066935949
153,VS56_163_rep1_S307_R1_001,VS56_163,empirical,VS56_163_rep1_S307_R1_001.fastq.gz,1284751,51280,0.001794072,33.5,3.9914349161822016,68.29197922677437,24.97114829774957
154,VS56_164_rep2_S356_R1_001,VS56_164,empirical,VS56_164_rep2_S356_R1_001.fastq.gz,1384118,107432,0.001710477,33.5,7.761765976600262,90.70975187536064,44.64800923254472
155,VS56_164_rep1_S308_R1_001,VS56_164,empirical,VS56_164_rep1_S308_R1_001.fastq.gz,1243262,49122,0.001646513,33.5,3.951057781867378,60.84824004616273,13.185227928447778
156,VS56_165_rep1_S309_R1_001,VS56_165,empirical,VS56_165_rep1_S309_R1_001.fastq.gz,1424883,49560,0.0018523,33.5,3.4781803137520764,82.96306982111945,23.557414887478362
157,VS56_165_rep2_S357_R1_001,VS56_165,empirical,VS56_165_rep2_S357_R1_001.fastq.gz,1422648,54428,0.001954509,33.5,3.825823394121385,78.10155799192152,25.288517022504326
158,VS56_166_rep1_S310_R1_001,VS56_166,empirical,VS56_166_rep1_S310_R1_001.fastq.gz,2125037,90007,0.001665426,33.5,4.235549781015577,69.25851125216388,28.00057703404501
159,VS56_166_rep2_S358_R1_001,VS56_166,empirical,VS56_166_rep2_S358_R1_001.fastq.gz,1328878,28305,0.001875287,33.5,2.1299923695026934,54.83266012694749,11.050201961915752
160,VS56_167_rep1_S311_R1_001,VS56_167,empirical,VS56_167_rep1_S311_R1_001.fastq.gz,1852862,34642,0.001911553,33.5,1.8696481443302309,60.99249855741489,15.680900173110214
